"label","Country","Serotype","ST","clonal_complex","Location"
"SRR2451899","Canada","III-2","17","cc17","other"
"SRR2451900","Canada","III-2","17","cc17","other"
"SRR2451901","Canada","III-2","17","cc17","other"
"SRR2451904","Canada","III-2","17","cc17","other"
"SRR2451905","Canada","III-2","17","cc17","other"
"SRR2451908","Canada","III-2","17","cc17","other"
"SRR2451917","Canada","III-2","17","cc17","other"
"SRR2451918","Canada","III-2","17","cc17","other"
"SRR2451919","Canada","III-2","17","cc17","other"
"SRR2451920","Canada","III-2","17","cc17","other"
"SRR2451922","Canada","III-2","17","cc17","other"
"SRR2451925","Canada","III-2","17","cc17","other"
"SRR2451927","Canada","III-2","17","cc17","other"
"SRR2451929","Canada","III-2","17","cc17","other"
"SRR2451930","Canada","III-2","17","cc17","other"
"SRR2451931","Canada","III-2","17","cc17","other"
"SRR2451932","Canada","III-2","17","cc17","other"
"SRR2451933","Canada","III-2","17","cc17","other"
"SRR2451934","Canada","III-2","17","cc17","other"
"SRR2451936","Canada","III-2","17","cc17","other"
"SRR2451943","Canada","III-2","17","cc17","other"
"SRR2451945","Canada","III-2","17","cc17","other"
