	S33	S19	S50	S62	S63	S48	S9	S82	S80	S24	S87	S41	S61	S6	S90	S91	S73	S67	S59	S38	S66	S58	S57	S79	S23	S43	S56	S70	S99	S52	S2	S14	S27	S26	S13	S22	S85	S31	S34	S8	S11	S39	S30	S77	S93	S92	S40	S21	S7	S97	S89	S46	S54	S95	S69	S5	S47	S88	S36	S28	S76	S72	S4	S98	S64	S55	S45	S15
S87	0.00098094537859	0.0009832180104600002	0.00088917047217	0.00011886756373	0.00011856026539	0.000113331144553	0.000104371827045	0.000102513746095	0.000111837032673	8.4536786043e-05	0.0	9.620966214999999e-05	0.000101699633025	0.000102955226575	0.000108687135215	0.000124376252915	0.000148151040941	0.000120523932641	0.000124663614071	0.00011314372878100001	0.00011849278149500001	0.000150166357894	0.000299146982274	0.000117566244701	0.000109948530871	0.00011494935391200001	0.000117093305098	0.000114325434927	0.00011346228450100001	0.00011532312212	0.000102340177254	0.0009367749019500001	0.0009163766219600001	0.000917642300939	0.0009155246868140001	0.0009714827056200001	0.0009816904235700002	0.00097698100545	0.0009796882953800002	0.00097797608865	0.009158239188670002	0.010364926764370001	0.01031457164846	0.010348367318681	0.010353083077763	0.010354737073138002	0.010338778349013	0.010332211886883002	0.010335379588237001	0.010347098071689001	0.010344794238984	0.010339670349333	0.010351365023965001	0.0069315638858700014	0.00797387348917	0.008087897693480001	0.00973079344605	0.009105599385050001	0.009642664640080002	0.0072256040026700006	0.009141929251470001	0.009026194200136001	0.009010218350706001	0.009033355599155	0.009900934415575	0.009219958101375	0.01225757826097	0.012375534403330002
S41	0.0009692976054800002	0.0009715702373500001	0.00087752269906	0.00010721979062	0.00010691249228	0.000101683371443	9.2724053935e-05	9.0865972985e-05	0.000102189260563	7.4889013933e-05	9.620966214999999e-05	0.0	8.8051858915e-05	8.9307452465e-05	9.5039361105e-05	0.00011072847880499999	0.000136503267831	0.000108876159531	0.000113015840961	0.00010149595567100001	0.00010684500838500001	0.000138518584784	0.000287499209164	0.000105918471591	9.8300757761e-05	0.000103301580802	0.000105445531988	0.000102677661817	0.000101814511391	0.00010367534901	9.0692404144e-05	0.0009251271288400001	0.0009047288488500001	0.000905994527829	0.0009038769137040001	0.0009598349325100001	0.00097004265046	0.0009653332323400001	0.00096804052227	0.0009663283155400001	0.00914659141556	0.010353278991260002	0.01030292387535	0.010336719545571	0.010341435304653	0.010343089300028	0.010327130575903	0.010320564113773	0.010323731815127	0.010335450298579001	0.010333146465874	0.010328022576222999	0.010339717250855002	0.006919916112760001	0.007962225716060001	0.00807624992037	0.00971914567294	0.009093951611940002	0.009631016866970002	0.00721395622956	0.009130281478360001	0.009014546427026001	0.008998570577596001	0.009021707826045	0.009889286642465	0.009208310328265001	0.012245930487860001	0.012363886630220002
S61	0.0009747875763550001	0.000977060208225	0.000883012669935	0.000112709761495	0.000112402463155	0.000107173342318	9.821402481e-05	9.635594386000001e-05	0.000107679231438	8.0378984808e-05	0.000101699633025	8.8051858915e-05	0.0	4.895796523e-05	9.580181135e-05	0.00011149092905	0.00014199323870600002	0.000114366130406	0.000118505811836	0.000106985926546	0.00011233497925999999	0.000144008555659	0.000292989180039	0.00011140844246600001	0.000103790728636	0.000108791551677	0.000110935502863	0.00010816763269200001	0.000107304482266	0.000109165319885	9.6182375019e-05	0.000930617099715	0.0009102188197250001	0.000911484498704	0.0009093668845790001	0.0009653249033850001	0.000975532621335	0.0009708232032150001	0.000973530493145	0.0009718182864150001	0.009152081386435001	0.010358768962135001	0.010308413846225	0.010342209516446	0.010346925275528	0.010348579270903002	0.010332620546778	0.010326054084648002	0.010329221786002001	0.010340940269454	0.010338636436749	0.010333512547098	0.010345207221730001	0.006925406083635001	0.007967715686935	0.008081739891245	0.009724635643815	0.009099441582815001	0.009636506837845001	0.007219446200435	0.009135771449235	0.009020036397901	0.009004060548471	0.00902719779692	0.00989477661334	0.00921380029914	0.012251420458735	0.012369376601095002
S6	0.0009760431699050001	0.0009783158017750001	0.000884268263485	0.000113965355045	0.000113658056705	0.000108428935868	9.946961836e-05	9.761153741000002e-05	0.000108934824988	8.1634578358e-05	0.000102955226575	8.9307452465e-05	4.895796523e-05	0.0	9.70574049e-05	0.0001127465226	0.00014324883225600002	0.000115621723956	0.000119761405386	0.00010824152009600001	0.00011359057281	0.00014526414920899998	0.000294244773589	0.00011266403601600001	0.000105046322186	0.00011004714522700001	0.000112191096413	0.00010942322624200001	0.00010856007581600001	0.000110420913435	9.7437968569e-05	0.000931872693265	0.0009114744132750001	0.000912740092254	0.0009106224781290001	0.0009665804969350001	0.0009767882148850001	0.000972078796765	0.0009747860866950001	0.000973073879965	0.009153336979985001	0.010360024555685	0.010309669439775002	0.010343465109996001	0.010348180869078	0.010349834864453001	0.010333876140328001	0.010327309678198001	0.010330477379552002	0.010342195863004	0.010339892030299001	0.010334768140648001	0.01034646281528	0.006926661677185001	0.007968971280485002	0.008082995484795	0.009725891237365001	0.009100697176365	0.009637762431395	0.0072207017939850005	0.009137027042785002	0.009021291991451002	0.009005316142021002	0.00902845339047	0.00989603220689	0.009215055892690002	0.012252676052285002	0.012370632194645003
S90	0.000981775078545	0.000984047710415	0.000890000172125	0.000119697263685	0.000119389965345	0.000114160844508	0.00010520152699999999	0.00010334344605000001	0.000114666733628	8.7366486998e-05	0.000108687135215	9.5039361105e-05	9.580181135e-05	9.70574049e-05	0.0	8.57477568e-05	0.00014898074089600001	0.000121353632596	0.000125493314026	0.000113973428736	0.00011932248144999999	0.000150996057849	0.000299976682229	0.00011839594465600001	0.000110778230826	0.000115779053867	0.000117923005053	0.00011515513488200001	0.000114291984456	0.000116152822075	0.00010316987720899999	0.000937604601905	0.000917206321915	0.000918472000894	0.000916354386769	0.000972312405575	0.000982520123525	0.000977810705405	0.0009805179953350002	0.000978805788605	0.009159068888625	0.010365756464325	0.010315401348415	0.010349197018636	0.010353912777718001	0.010355566773093	0.010339608048968	0.010333041586838	0.010336209288192	0.010347927771644	0.010345623938939001	0.010340500049288	0.01035219472392	0.006932393585825001	0.007974703189125	0.008088727393435	0.009731623146005002	0.009106429085005	0.009643494340035001	0.007226433702625	0.009142758951425	0.009027023900091	0.009011048050661	0.009034185299109999	0.00990176411553	0.00922078780133	0.012258407960925	0.012376364103285001
S91	0.000997464196245	0.0009997368281150002	0.000905689289825	0.00013538638138499998	0.00013507908304499997	0.00012984996220799996	0.00012089064469999997	0.00011903256374999998	0.00013035585132799998	0.00010305560469799999	0.000124376252915	0.00011072847880499999	0.00011149092905	0.0001127465226	8.57477568e-05	0.0	0.000164669858596	0.000137042750296	0.000141182431726	0.000129662546436	0.00013501159915	0.00016668517554899997	0.00031566579992899996	0.00013408506235599996	0.00012646734852599998	0.00013146817156699998	0.00013361212275299998	0.00013084425258199996	0.00012998110215599998	0.00013184193977499998	0.00011885899490899997	0.0009532937196050001	0.0009328954396150001	0.000934161118594	0.0009320435044690001	0.0009880015232750002	0.0009982092412250002	0.000993499823105	0.0009962071130350002	0.000994494906305	0.009174758006325001	0.010381445582025	0.010331090466115	0.010364886136336	0.010369601895418	0.010371255890793001	0.010355297166668	0.010348730704538001	0.010351898405892	0.010363616889344	0.010361313056639	0.010356189166988	0.01036788384162	0.006948082703525001	0.007990392306825	0.008104416511135	0.009747312263705	0.009122118202705	0.009659183457735001	0.007242122820325	0.009158448069125	0.009042713017791	0.009026737168361	0.009049874416809999	0.00991745323323	0.00923647691903	0.012274097078625	0.012392053220985001
S73	0.000978098281461	0.0009803709133310002	0.000886323375041	0.00011602046660099999	0.00011571316826099999	0.00011048404742399998	0.00010152472991599998	0.000138182266346	0.00015413063935400002	0.000126830392724	0.000148151040941	0.000136503267831	0.00014199323870600002	0.00014324883225600002	0.00014898074089600001	0.000164669858596	0.0	8.391074461999999e-05	0.000101969689336	9.044980404600001e-05	9.579885676e-05	0.00014731926076499998	0.00029629988514499997	0.00011471914757199999	0.00010710143374199999	0.00011210225678299999	0.00011424620796899999	0.00011147833779799999	0.00011061518737199999	0.00011247602499099999	9.949308012499998e-05	0.0009339278048210001	0.0009135295248310001	0.0009147952038100001	0.0009126775896850001	0.0009686356084910001	0.0009788433264410002	0.0009741339083210001	0.0009768411982510002	0.0009751289915210001	0.009155392091541	0.010362079667241002	0.010311724551331	0.010345520221552	0.010350235980634	0.010351889976009	0.010335931251884	0.010329364789754	0.010332532491108	0.010344250974560001	0.010341947141855	0.010336823252204	0.010348517926836002	0.006928716788741001	0.007971026392041001	0.008085050596351	0.009727946348921001	0.009102752287921002	0.009639817542951002	0.007222756905541	0.009139082154341002	0.009023347103007002	0.009007371253577002	0.009030508502026	0.009898087318446	0.009217111004246001	0.012254731163841001	0.012372687306201002
S67	0.0009504711731610001	0.000952743805031	0.000858696266741	8.8393358301e-05	8.808605996100002e-05	8.285693912400001e-05	7.3897621616e-05	0.000110555158046	0.000126503531054	9.9203284424e-05	0.000120523932641	0.000108876159531	0.000114366130406	0.000115621723956	0.000121353632596	0.000137042750296	8.391074461999999e-05	0.0	7.4342581036e-05	6.282269574600001e-05	6.817174846e-05	0.000119692152465	0.00026867277684499997	8.7092039272e-05	7.9474325442e-05	8.4475148483e-05	8.6619099669e-05	8.3851229498e-05	8.2988079072e-05	8.4848916691e-05	7.186597182500001e-05	0.000906300696521	0.0008859024165310001	0.00088716809551	0.0008850504813850001	0.0009410085001910001	0.000951216218141	0.000946506800021	0.000949214089951	0.000947501883221	0.009127764983241	0.010334452558941002	0.010284097443031	0.010317893113252	0.010322608872334	0.010324262867709	0.010308304143584	0.010301737681454001	0.010304905382808	0.010316623866260002	0.010314320033555001	0.010309196143904	0.010320890818536002	0.006901089680441001	0.007943399283741001	0.008057423488051	0.009700319240621001	0.009075125179621002	0.009612190434651002	0.007195129797241	0.009111455046041002	0.008995719994707002	0.008979744145277002	0.009002881393726	0.009870460210146	0.009189483895946001	0.012227104055541001	0.012345060197901003
S59	0.0009546108545910001	0.0009568834864610001	0.000862835948171	9.2533039731e-05	9.2225741391e-05	8.6996620554e-05	7.8037303046e-05	0.000114694839476	0.000130643212484	0.000103342965854	0.000124663614071	0.000113015840961	0.000118505811836	0.000119761405386	0.000125493314026	0.000141182431726	0.000101969689336	7.4342581036e-05	0.0	4.711556633e-05	6.9156802916e-05	0.00012383183389499998	0.00027281245827499997	9.1231720702e-05	8.3614006872e-05	8.8614829913e-05	9.0758781099e-05	8.7990910928e-05	8.7127760502e-05	8.8988598121e-05	7.6005653255e-05	0.000910440377951	0.0008900420979610001	0.00089130777694	0.0008891901628150001	0.0009451481816210001	0.000955355899571	0.000950646481451	0.0009533537713810001	0.000951641564651	0.009131904664671	0.010338592240371001	0.010288237124461	0.010322032794681999	0.010326748553764	0.010328402549139	0.010312443825013999	0.010305877362884	0.010309045064238	0.010320763547690001	0.010318459714985	0.010313335825333999	0.010325030499966002	0.006905229361871001	0.007947538965171001	0.008061563169481	0.009704458922051	0.009079264861051001	0.009616330116081002	0.007199269478671	0.009115594727471001	0.008999859676137001	0.008983883826707001	0.009007021075156	0.009874599891576	0.009193623577376001	0.012231243736971001	0.012349199879331002
S38	0.0009430909693010002	0.0009453636011710002	0.0008513160628810001	8.101315444100002e-05	8.070585610100001e-05	7.547673526400001e-05	6.6517417756e-05	0.000103174954186	0.000119123327194	9.1823080564e-05	0.00011314372878100001	0.00010149595567100001	0.000106985926546	0.00010824152009600001	0.000113973428736	0.000129662546436	9.044980404600001e-05	6.282269574600001e-05	4.711556633e-05	0.0	5.7636917626e-05	0.00011231194860500001	0.000261292572985	7.9711835412e-05	7.2094121582e-05	7.7094944623e-05	7.923889580899999e-05	7.6471025638e-05	7.5607875212e-05	7.7468712831e-05	6.4485767965e-05	0.0008989204926610001	0.0008785222126710001	0.0008797878916500001	0.0008776702775250002	0.0009336282963310001	0.0009438360142810001	0.0009391265961610001	0.0009418338860910002	0.0009401216793610001	0.009120384779381	0.010327072355081	0.010276717239171	0.010310512909392	0.010315228668474001	0.010316882663849	0.010300923939724	0.010294357477594	0.010297525178948	0.0103092436624	0.010306939829695001	0.010301815940044	0.010313510614676	0.006893709476581001	0.007936019079881	0.008050043284191	0.009692939036761002	0.009067744975761	0.009604810230791001	0.007187749593381	0.009104074842181	0.008988339790847	0.008972363941417	0.008995501189866	0.009863080006286	0.009182103692086	0.012219723851681	0.012337679994041001
